Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Booth	100	76	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.6376843350538287, 2.800596443379136) = 1.4331483549699409	99.46592864168096	41.09901469663382	94.83384963949577	12.880608511255696	1	35.1876
Booth	100	77	0.8	50	50	1	f(1.0397122650315163, 2.9457327447067736) = 0.005369389957067476	f(0.6224636130562502, 2.405310063189442) = 4.2770859428135495	99.46592864168096	18.949852453356797	96.96196208427017	10.447271933234585	1	35.1876
Booth	100	78	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(1.0611378718771514, 3.567465575198838) = 1.906324193116679	99.69535982209611	34.407723762145814	94.85745888032567	14.344448223373913	1	35.1876
Booth	100	79	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(1.0397122650315163, 3.6347185736561025) = 2.22387255642951	99.69535982209611	31.018595881082714	93.7781702963001	16.121674362202405	1	35.1876
Booth	100	80	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(0.28728899018950205, 2.9457327447067736) = 2.8639245550682357	99.69535982209611	25.880422501736458	92.89377164995234	16.67954848197701	1	35.1876
Booth	100	81	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(0.29376341690543195, 2.9457327447067736) = 2.815179399108425	99.69535982209611	26.211087222626844	94.51128779042777	14.248887957347979	1	35.1876
Booth	100	82	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(0.5533252854047577, 2.847369893544883) = 1.6594793241920542	99.69535982209611	37.60134515442411	94.47425651296855	14.398727316942391	1	35.1876
Booth	100	83	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(1.0397122650315163, 3.7412313308542338) = 2.990492549653736	99.69535982209611	25.05956313805854	93.25166626685188	15.562147477241679	1	35.1876
Booth	100	84	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(1.0397122650315163, 2.390311831632223) = 1.672786848177532	99.69535982209611	37.414132020361464	93.66937550957954	14.333440823954703	1	35.1876
Booth	100	85	0.8	50	50	1	f(1.0397122650315163, 2.961642388456342) = 0.0030557107015562347	f(1.0934011261678105, 3.6682504982199724) = 2.7757352864708498	99.69535982209611	26.48490755120421	95.66511481876749	12.067686139354176	1	35.1876
Booth	100	86	0.8	50	50	1	f(1.0397122650315163, 2.971194062144306) = 0.002882637939543797	f(1.0397122650315163, 2.4200491776622313) = 1.5053508155255515	99.71256477772253	39.91456980008719	96.25991745775642	9.755286834603115	1	35.1876
Booth	100	87	0.8	50	50	1	f(1.0397122650315163, 2.971194062144306) = 0.002882637939543797	f(0.47482508918898614, 2.9457327447067736) = 1.621766517380712	99.71256477772253	38.14222179475595	95.93377792281431	9.371765606779677	1	35.1876
Booth	100	88	0.8	50	50	1	f(1.0397122650315163, 2.971194062144306) = 0.002882637939543797	f(1.5985440741075108, 2.971194062144306) = 1.6574909663037385	99.71256477772253	37.62947880838458	95.25409089007469	11.141105587887212	1	35.1876
Booth	100	89	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.0397122650315163, 2.498778322116573) = 1.1047639869778714	99.8532177629273	47.511265214863904	95.3829131065461	10.306358947193628	1	35.1876
Booth	100	90	0.8	50	50	1	f(1.0284173423544747, 2.9754551365178843) = 0.0014699800403145846	f(1.5828162791999227, 2.961642388456342) = 1.526887084807918	99.8532177629273	39.57438407169727	95.40336100790384	11.451784031662564	1	35.1876
