Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Levi	100	42	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.169035722281082, -3.1842957734172836) = 18.02851717393264	77.98731658764777	5.255270239185585	70.74432518319517	13.982532095150765	1	40.8533
Levi	100	43	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.9917909278098325, -3.939539223598218) = 53.10735868569275	77.98731658764777	1.8481774462674396	71.74096468469378	13.554805708838671	1	40.8533
Levi	100	44	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.669759348389304, -3.5804747102503134) = 57.71913222563208	77.98731658764777	1.7030224427660734	72.13804909085908	14.79717937520203	1	40.8533
Levi	100	45	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.669759348389304, -3.202525171960276) = 19.444669248916536	77.98731658764777	4.891250564266257	73.16074134832543	9.552491673857716	1	40.8533
Levi	100	46	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.7790465363246346, -2.7696587180738845) = 72.72445506870389	77.98731658764777	1.3564020230032205	71.57369658323184	14.879756222030162	1	40.8533
Levi	100	47	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-3.6648049518785064, -3.6438337359439803) = 69.75358145787179	77.98731658764777	1.413356015900653	71.63641625799023	16.17711215896818	1	40.8533
Levi	100	48	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-1.9970135203513257, -2.7014007303413496) = 53.22509758804695	77.98731658764777	1.8441645003520177	71.31585812537134	18.0841035114422	1	40.8533
Levi	100	49	0.8	50	50	1	f(-1.9970135203513257, -3.3278353064932458) = 0.2822597875593371	f(-1.9970135203513257, -3.6031596278392812) = 57.34946242488051	77.98731658764777	1.7138118475168589	71.19433460326687	18.409314054493635	1	40.8533
Levi	100	50	0.8	50	50	1	f(-1.6739814425743287, -3.3278353064932458) = 0.28129854780356894	f(-1.9970135203513257, -3.6031596278392812) = 57.34946242488051	78.04582325596347	1.7138118475168589	69.4972234470021	20.683551997019638	1	40.8533
Levi	100	51	0.8	50	50	1	f(-1.6739814425743287, -3.3278353064932458) = 0.28129854780356894	f(-1.9970135203513257, -3.2281756676005147) = 6.289262871941221	78.04582325596347	13.718808301581907	75.0100555127967	10.824229402981176	1	40.8533
Levi	100	52	0.8	50	50	1	f(-1.33646015296492, -3.3278353064932458) = 0.27288478928157184	f(-1.9970135203513257, -2.887928901024523) = 47.83088600928321	78.56170553852006	2.0478842014250787	73.53245655589264	14.174723055145867	1	40.8533
Levi	100	53	0.8	50	50	1	f(-1.33646015296492, -3.3278353064932458) = 0.27288478928157184	f(-1.9970135203513257, -2.592481025625658) = 34.68468348217205	78.56170553852006	2.8023227402299833	73.49329390740071	15.071977348556072	1	40.8533
Levi	100	54	0.8	50	50	1	f(-1.33646015296492, -3.3278353064932458) = 0.27288478928157184	f(-1.9970135203513257, -2.922480413208845) = 37.15928754685779	78.56170553852006	2.6205940002733215	71.55221642861679	18.88344008232798	1	40.8533
Levi	100	55	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-1.8192252476460486, -2.7971834301238103) = 63.22885857489149	79.0615020804572	1.556932541209634	69.6815816163718	19.091294015544033	1	40.8533
Levi	100	56	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-1.9970135203513257, -2.8389756837952067) = 59.27527332510738	79.0615020804572	1.6590551064053902	71.290794647439	16.27390038973513	1	40.8533
Levi	100	57	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-1.9970135203513257, -2.979497212198071) = 20.498685152118043	79.0615020804572	4.65144725328228	72.98939373660463	14.702619237481642	1	40.8533
Levi	100	58	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-2.1584333578275054, -3.0736708413426945) = 10.161800495228697	79.0615020804572	8.959128058483639	73.95277763173581	10.934756123978175	1	40.8533
Levi	100	59	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-1.9970135203513257, -3.0736708413426945) = 8.761781746679919	79.0615020804572	10.244031529798443	73.85345241933213	11.567550260612464	1	40.8533
Levi	100	60	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-1.3452288625500186, -3.6047515139664856) = 56.758689711586236	79.0615020804572	1.7313412146179672	73.6061500482774	14.545851738791837	1	40.8533
Levi	100	61	0.8	50	50	1	f(-0.6662095703860422, -3.3278353064932458) = 0.26483809905653777	f(-0.6662095703860422, -2.752067103223236) = 57.74949977139792	79.0615020804572	1.7021421525138636	71.50020755758163	20.226001189174255	1	40.8533
Levi	100	62	0.8	50	50	1	f(-0.6662095703860422, -3.3185350022665734) = 0.20910501825240566	f(-0.6662095703860422, -3.4427367362790235) = 10.32906337809064	82.70580180416106	8.826855024343033	74.02397351834348	12.059110593738222	1	40.8533
Levi	100	63	0.8	50	50	1	f(-0.6662095703860422, -3.3185350022665734) = 0.20910501825240566	f(-1.3332232844999663, -3.9518167010810297) = 42.36877857481942	82.70580180416106	2.3058062340280325	71.77542289979385	18.07549760099186	1	40.8533
Levi	100	64	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-1.33646015296492, -2.5718528813227346) = 29.63537381276955	82.79741680433332	3.2642004178293273	75.10176918292466	11.993344311397703	1	40.8533
Levi	100	65	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-1.9970135203513257, -2.5914620052855657) = 34.53831704698652	82.79741680433332	2.8138642543986063	74.53008881192004	14.73881091147724	1	40.8533
Levi	100	66	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-1.1950016148098823, -3.3278353064932458) = 1.2006602217424307	82.79741680433332	45.440908601884196	75.73641184794973	7.428764404535289	1	40.8533
Levi	100	67	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-1.33646015296492, -2.9069624490296304) = 39.98675569877524	82.79741680433332	2.439812527122955	76.67513251988204	9.14316704051828	1	40.8533
Levi	100	68	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-0.932073725335916, -3.1167441066707475) = 5.173833208445822	82.79741680433332	16.197392547501885	76.94467421327496	8.450622239407553	1	40.8533
Levi	100	69	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-0.6658744298425467, -3.201509716668048) = 2.52397271963594	82.79741680433332	28.377064170443113	77.09234853884526	7.74511063751403	1	40.8533
Levi	100	70	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-0.16622003153896747, -3.3278353064932458) = 1.2610026635365086	82.79741680433332	44.22816550051591	74.95904182442159	10.561518447160008	1	40.8533
Levi	100	71	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-0.6662095703860422, -3.644116431401295) = 68.97752010232628	82.79741680433332	1.4290303493718073	72.6476180325354	18.056039587299864	1	40.8533
Levi	100	72	0.8	50	50	1	f(-0.6662095703860422, -3.317568793131686) = 0.2077671485370102	f(-0.6662095703860422, -3.0133475452925635) = 13.565243197195066	82.79741680433332	6.865659477574512	73.94454092177918	14.903073569336692	1	40.8533
Levi	100	73	0.8	50	50	1	f(-0.34093273282509173, -3.317568793131686) = 0.19143510042935546	f(-0.6662095703860422, -2.58442607527087) = 30.496986348480586	83.93239376946605	3.1749069226371875	75.48415509784995	13.625411050832318	1	40.8533
Levi	100	74	0.8	50	50	1	f(-0.34093273282509173, -3.317568793131686) = 0.19143510042935546	f(-0.6662095703860422, -2.725849968270879) = 55.669477927061344	83.93239376946605	1.7646183387944545	73.19501815136319	17.938855000106596	1	40.8533
Levi	100	75	0.8	50	50	1	f(-0.34093273282509173, -3.317568793131686) = 0.19143510042935546	f(-0.6662095703860422, -2.884300325162629) = 43.990269055720404	83.93239376946605	2.222702866616559	75.22996164708205	14.596026163979513	1	40.8533
Levi	100	76	0.8	50	50	1	f(-0.34093273282509173, -3.317568793131686) = 0.19143510042935546	f(-0.6662095703860422, -2.884300325162629) = 43.990269055720404	83.93239376946605	2.222702866616559	75.91469569255123	14.22435519641995	1	40.8533
