Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Rastrigin	100	36	0.8	50	50	1	f(-1.9832885391691748, -1.9456873322077701) = 8.350859499223647	f(-1.765266287865867, -2.7345800202220834) = 30.603704862700276	10.69420410052172	3.1641859849799845	7.730719707237163	1.6202761759051154	1	49.36
Rastrigin	100	37	0.8	50	50	1	f(-1.9832885391691748, -1.9456873322077701) = 8.350859499223647	f(-2.5195120221226683, -2.964365562874623) = 35.30995289064296	10.69420410052172	2.7540658149895285	8.263920560521848	1.5993711190408235	1	49.36
Rastrigin	100	38	0.8	50	50	1	f(-1.9832885391691748, -1.958336380487578) = 8.16428263016369	f(-3.001207997239215, -2.593550668539325) = 34.05569032185367	10.91192884763898	2.8526039305424873	8.711750347396931	1.9680796287629363	1	49.36
Rastrigin	100	39	0.8	50	50	1	f(-1.9268072411703994, -0.9529542850698092) = 6.0933824786075	f(-1.7391987493820265, -2.2921588820934895) = 31.57499740285624	14.097646687117733	3.0698390782137652	8.896323531870022	2.0669752616088517	1	49.36
Rastrigin	100	40	0.8	50	50	1	f(-1.9268072411703994, -0.9529542850698092) = 6.0933824786075	f(-2.6357413434442103, -2.044084543042468) = 28.084695486681916	14.097646687117733	3.4382343815767538	9.244847528156955	2.1383927387986157	1	49.36
Rastrigin	100	41	0.8	50	50	1	f(-1.9268072411703994, -0.9529542850698092) = 6.0933824786075	f(-2.02589463020977, -1.5193882900492086) = 26.470746685191468	14.097646687117733	3.6402359624941156	9.42218042151553	1.9901094048183712	1	49.36
Rastrigin	100	42	0.8	50	50	1	f(-2.02589463020977, -1.0155742841680593) = 5.315547047671322	f(-2.3755909606417194, -2.044084543042468) = 27.300163288257103	15.833941105208321	3.5335485163611793	9.837805316870773	1.8274106371601504	1	49.36
Rastrigin	100	43	0.8	50	50	1	f(-2.02589463020977, -1.0155742841680593) = 5.315547047671322	f(-1.8892139216249015, -2.4705924248984052) = 31.82917981667706	15.833941105208321	3.0460706163972002	10.249963645630265	1.65809294593049	1	49.36
Rastrigin	100	44	0.8	50	50	1	f(-1.9832885391691748, -0.975398519310265) = 5.059141825061143	f(-1.4540543119855136, -2.044084543042468) = 26.259920089008823	16.50398734460897	3.668389330323823	10.025223437540483	2.012243983379481	1	49.36
Rastrigin	100	45	0.8	50	50	1	f(-1.9832885391691748, -0.975398519310265) = 5.059141825061143	f(-2.02589463020977, -1.5688498655260674) = 25.776407892754765	16.50398734460897	3.7346308885240083	10.372011321232387	2.296457997397979	1	49.36
Rastrigin	100	46	0.8	50	50	1	f(-0.8745859778890475, -1.0155742841680593) = 4.7914832701298256	f(-1.9907906301122038, -2.4046714733419785) = 28.021614512036958	17.266733811657602	3.445707679651115	10.413847905968883	2.893871472988135	1	49.36
Rastrigin	100	47	0.8	50	50	1	f(-2.02589463020977, -0.015178640554497802) = 4.281988338639568	f(-2.6938326499257377, -1.9392651622339523) = 25.19311269066204	18.932264440734464	3.817797494363869	11.309441269227143	2.9373415866825714	1	49.36
Rastrigin	100	48	0.8	50	50	1	f(-2.02589463020977, -0.015178640554497802) = 4.281988338639568	f(-1.9832885391691748, -2.5297071642062896) = 30.21423098676629	18.932264440734464	3.2036669441703176	11.793041712775203	2.8612076316364203	1	49.36
Rastrigin	100	49	0.8	50	50	1	f(-2.02589463020977, -0.015178640554497802) = 4.281988338639568	f(-1.9907906301122038, -1.6749932463282606) = 21.325869440847335	18.932264440734464	4.479108877033937	12.318193286492017	3.0836447243586287	1	49.36
Rastrigin	100	50	0.8	50	50	1	f(-1.121493327166952, 0.02051320924245359) = 4.1159778181707285	f(-0.4185282352899975, -1.9456873322077701) = 23.25565952729096	19.546605469011993	4.122749162416557	12.54129990650363	3.4120432783803287	1	49.36
